no,agency,corp_name,year,designation_type,industry,ghg_tco2eq,energy_tj,verifier,remark
295,국토교통부,광주과학기술원,2024,사업장,건물,24365.0,504.0,한국표준협회,
296,기후에너지환경부,광주광역시,2024,업체,폐기물 처리업,174787.0,1635.0,(재)한국품질재단,
297,국토교통부,광주교통공사,2024,사업장,교통(철도),19368.0,403.0,한국표준협회,
298,기후에너지환경부,광진산업(주),2024,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",78427.0,196.0,한국생산성본부인증원(주),
299,기후에너지환경부,괴산군,2024,사업장,폐기물,18411.0,113.0,(재)한국품질재단,
300,국토교통부,구리농수산물공사,2024,사업장,건물,17502.0,364.0,한국표준협회,
301,기후에너지환경부,구리시,2024,사업장,폐기물 처리업,55002.0,544.0,㈜한국품질보증원,
302,기후에너지환경부,구미시,2024,업체,폐기물 처리업,148251.0,1167.0,㈜한국품질보증원,
303,기후에너지환경부,국도화학(주),2024,사업장,합성고무 및 플라스틱 물질 제조업,64136.0,2028.0,로이드인증원㈜,
304,기후에너지환경부,국립대학법인 서울대학교,2024,업체,고등 교육기관,150776.0,3108.0,(재)한국품질재단,
305,국토교통부,국립암센터,2024,사업장,건물,20522.0,435.0,(주)한국경영인증원,
306,국토교통부,국방과학연구소,2024,사업장,건물,22491.0,464.0,(재)한국품질재단,
307,기후에너지환경부,국일제지(주),2024,사업장,"펄프, 종이 및 판지 제조업",31922.0,714.0,(주)한국경영인증원,
308,국토교통부,국회사무처,2024,사업장,건물,22871.0,480.0,한국표준협회,
309,기후에너지환경부,군산시,2024,사업장,폐기물 처리업,107270.0,597.0,㈜한국품질보증원,
310,기후에너지환경부,군포시,2024,사업장,폐기물 처리업,42825.0,413.0,㈜한국품질보증원,
311,기후에너지환경부,그린에어 주식회사,2024,업체,기초 화학물질 제조업,585121.0,12125.0,로이드인증원㈜,
312,기후에너지환경부,그린케미칼 주식회사,2024,사업장,기초 화학물질 제조업,56908.0,1291.0,한국가스안전공사,
313,산업통상자원부,금강공업(주),2024,사업장,비철금속,13809.0,238.0,(주)한국경영인증원,
314,해양수산부,금진해운(주),2024,사업장,교통(해운),15981.0,221.0,㈜디엔브이비즈니스어슈어런스코리아,
315,기후에너지환경부,금호고속(주),2024,업체,육상 여객 운송업,6064.0,126.0,(주)한국경영인증원,
316,기후에너지환경부,금호미쓰이화학 주식회사,2024,사업장,기초 화학물질 제조업,170330.0,3037.0,(재)한국품질재단,
317,기후에너지환경부,금호석유화학 주식회사,2024,업체,합성고무 및 플라스틱 물질 제조업,3308643.0,41212.0,한국표준협회,
318,기후에너지환경부,금호익스프레스 주식회사,2024,업체,육상 여객 운송업,100236.0,1438.0,(주)한국경영인증원,
319,기후에너지환경부,금호타이어(주),2024,업체,고무제품 제조업,260704.0,5354.0,지속가능인증원주식회사,
320,기후에너지환경부,금호폴리켐주식회사,2024,업체,합성고무 및 플라스틱 물질 제조업,328101.0,5564.0,(재)한국품질재단,
321,기후에너지환경부,금호피앤비화학 주식회사,2024,업체,기초 화학물질 제조업,803074.0,10775.0,로이드인증원㈜,
322,기후에너지환경부,기아(주),2024,업체,자동차용 엔진 및 자동차 제조업,709750.0,14534.0,로이드인증원㈜,
323,국토교통부,기초과학연구원,2024,사업장,건물,22733.0,485.0,한국표준협회,
324,기후에너지환경부,김천시,2024,사업장,"하수, 폐수 및 분뇨 처리업",43214.0,374.0,㈜한국품질보증원,
325,기후에너지환경부,김천에너지서비스주식회사,2024,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",689186.0,8017.0,한국표준협회,
326,기후에너지환경부,김포시,2024,사업장,폐기물 처리업,54659.0,602.0,한국표준협회,
327,기후에너지환경부,김포운수(주),2024,사업장,육상 여객 운송업,16961.0,315.0,(주)한국경영인증원,
328,기후에너지환경부,김해시,2024,사업장,폐기물 처리업,117612.0,1324.0,㈜한국품질보증원,
329,기후에너지환경부,깨끗한나라 주식회사,2024,업체,"펄프, 종이 및 판지 제조업",332386.0,4353.0,(재)한국품질재단,
330,기후에너지환경부,나래에너지서비스 주식회사,2024,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",1822245.0,36262.0,(주)한국경영인증원,
331,기후에너지환경부,나투라페이퍼 주식회사,2024,업체,"펄프, 종이 및 판지 제조업",165385.0,1215.0,한국표준협회,
332,기후에너지환경부,남강제지(주),2024,사업장,"펄프, 종이 및 판지 제조업",25510.0,223.0,(재)한국품질재단,
